ID,Name,Email,Phone Number,Affiliation,Role,Ticket Type,Checked In
1,Justin Curtis,daniel49@hotmail.com,(079)554-7354,Wheeler-Bradshaw,Attendee,Standard,False
2,Jon Gonzales,charles97@yahoo.com,223.730.9301,"Dominguez, Davis and Petty",Attendee,VIP,False
3,Gina Marshall,brandonboyd@cooke.com,001-912-662-5501x88253,"Wright, Perez and Ellis",Volunteer,Student,False
4,Jennifer Johnson,whitemichael@smith.com,(198)937-6639,"Reed, Rich and Barker",Attendee,Student,False
5,Tina Atkinson,lauracoffey@hotmail.com,592-688-9300,Molina Group,Organizer,Standard,False
6,Brittany Webster,michaelschwartz@hernandez.com,674-992-0181,Cohen and Sons,Organizer,VIP,False
7,Brandon Todd,jacksontim@harmon.com,246-121-5801,Howard PLC,Organizer,Student,False
8,Stephanie Knox,manningelizabeth@gmail.com,787.148.7151x803,Thornton-Moreno,Volunteer,Student,False
9,Christian Swanson,lawsonsusan@peck.com,001-223-157-3577x34281,Mahoney and Sons,Attendee,Standard,False
10,Cory Stewart,rebekah53@gmail.com,(940)651-1508x14012,"Peterson, Hodge and Berry",Attendee,Standard,False
11,Tonya Durham,mprince@gmail.com,265.185.1594x7802,Yoder-Lane,Speaker,VIP,False
12,Mary Rogers,iyoung@murray.com,075.741.9820,"Bailey, Patterson and Christensen",Speaker,VIP,False
13,Anthony Fischer,andrew82@esparza.com,667.941.9183,Davies Inc,Volunteer,VIP,False
14,Nathaniel Rodriguez,erikalove@gmail.com,8259031035,"Norton, Hill and Kelley",Attendee,Student,False
15,Donald Goodwin,angelaalvarez@gaines-moore.com,+1-030-452-8857x7287,"Rivera, Byrd and Mathews",Volunteer,Standard,False
16,Timothy Harris,kherman@vega-rodriguez.com,+1-486-347-2164x7603,Freeman and Sons,Attendee,VIP,False
17,Amber Tanner,colemantina@green.com,7481304246,Shelton-Norman,Attendee,VIP,False
18,Christy Ramirez DVM,michael41@yahoo.com,001-297-697-0566x1120,Walsh-Sharp,Speaker,Student,False
19,John Jimenez,amysmith@love-nelson.com,001-282-059-7937,"Washington, Clark and Ayala",Organizer,Student,True
